Name,State,Zip,Street,City,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Student-to-faculty ratio,Phone

Academy of Salon Professionals,Missouri,65301,2414 S. Limit Ave, Sedalia,www.academyofsalonprofessionals.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,44 (all undergraduate),15 to 1,(660) 827-4500

A Better U Beauty Barber Academy,New Mexico,87110,5400 Phoenix Ave NE Suite 105, Albuquerque,abuacademy.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,35 (all undergraduate),6 to 1,(505) 265-4777

Academy of Hair Design-Grenada,Mississippi,38901,1301 Sunset Dr #JK, Grenada,www.academyofhair.com/grenada-campus,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,34 (all undergraduate),15 to 1,(601) 372-9800

Advanced Welding Institute,Vermont,05403,2 Green Tree Dr Suite 3, South Burlington,www.awi.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Small,No,66 (all undergraduate),11 to 1,(802) 660-0600

Academy di Firenze,Idaho,83338-2329,149 West Main Street, Jerome,www.academydifirenze.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,15 (all undergraduate),8 to 1,(208) 644-1546

Adrian's College of Beauty Turlock,California,95380,1340 W Main St, Turlock,www.adrians.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Small,No,85 (all undergraduate),10 to 1,(209) 632-2233

Acaydia School of Aesthetics,,,,,www.acaydia.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,133 (all undergraduate),10 to 1,(801) 377-0025 x3

Academy for Five Element Acupuncture,Florida,32601,305 SE 2nd Ave, Gainesville,www.acupuncturist.edu/,"4-year, Private not-for-profit",Master's degree,City: Midsize,No,91 (0 undergraduate),,(352) 335-2332

Academy of Hair Design-Jasper,Texas,75951,348 Spring Hill St, Jasper,lufkinhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Town: Remote,No,46 (all undergraduate),12 to 1,(409) 384-8200

Aaniiih Nakoda College,Montana,59526,269 Blackfeet Avenue Agency, Harlem,www.ancollege.edu/,"4-year, primarily associate's, Public",One but less than two years certificateAssociate's degreeBachelor's degree,Rural: Remote,No,143 (all undergraduate),10 to 1,(406) 353-2607 x3901

Adult and Continuing Education-BCTS,New Jersey,07601-6637,190 Hackensack Avenue, Hackensack,bcts.bergen.org/index.php/adult-ed-main-page,"< 2-year, Public",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,60 (all undergraduate),15 to 1,(201) 343-6000 x2288

